ResultId;AthleteId;RaceId;RaceName;Gender;Birthyear;CountryIso;County;Municipality;Status;ActualStartTime;FinishNetto;Place;PlaceClass;PlaceTotal;_5Km;_10Km;_15Km;_20Km
569236;105169;267;Göteborgsvarvet 2010;F;1989;SWE;VÄSTRA GÖTALAND;GÖTEBORG;FNS; 13:57:15;02:04:44;3369;0;18610;00:30:58;01:00:06;01:29:16;01:59:06
580559;241679;267;Göteborgsvarvet 2010;F;1972;SWE;ÖREBRO;ÖREBRO;FNS; 15:48:09;02:20:40;7177;0;29591;00:32:16;01:05:30;01:40:01;02:13:48
606791;110691;267;Göteborgsvarvet 2010;F;1951;SWE;VÄSTRA GÖTALAND;VÄNERSBORG;FNS; 14:17:18;02:11:44;5079;0;23941;00:28:05;00:58:14;01:30:11;02:04:46
578014;157905;267;Göteborgsvarvet 2010;M;1972;SWE;JÖNKÖPING;NÄSSJÖ;FNS; 15:54:36;02:10:47;18411;0;23237;00:28:44;00:59:41;01:31:33;02:04:07
605706;60916;267;Göteborgsvarvet 2010;M;1965;SWE;SKÅNE;LUND;FNS; 14:25:44;02:04:57;15364;0;18803;00:26:56;00:56:02;01:26:38;01:58:27
554690;243056;267;Göteborgsvarvet 2010;M;1801;DNK;NULL;NULL;FNS; 14:31:10;01:54:31;8955;0;10267;00:25:17;00:51:32;01:19:17;01:48:38
619354;8276;267;Göteborgsvarvet 2010;M;1980;SWE;HALLAND;VARBERG;FNS; 14:01:27;02:05:19;15571;0;19095;00:25:47;00:55:48;01:27:40;01:58:50
605640;90508;267;Göteborgsvarvet 2010;M;1962;SWE;VÄSTRA GÖTALAND;GÖTEBORG;FNS; 13:39:20;01:47:21;5152;0;5708;00:23:11;00:47:17;01:12:52;01:41:13
607594;132174;267;Göteborgsvarvet 2010;F;1956;SWE;VÄRMLAND;KARLSTAD;FNS; 13:50:38;01:54:05;1259;0;9943;00:25:39;00:51:17;01:18:26;01:47:53
619156;191848;267;Göteborgsvarvet 2010;F;1968;SWE;VÄSTMANLAND;NORBERG;FNS; 14:38:16;02:03:06;2968;0;17307;00:28:40;00:57:47;01:27:10;01:57:04
598561;209021;267;Göteborgsvarvet 2010;F;1990;SWE;STOCKHOLM;LIDINGÖ;FNS; 14:24:35;02:19:08;6837;0;28766;00:29:49;01:03:11;01:37:50;02:12:19
595237;55029;267;Göteborgsvarvet 2010;M;1965;SWE;VÄSTRA GÖTALAND;ALINGSÅS;FNS; 14:15:42;01:56:41;10351;0;11970;00:25:09;00:51:57;01:20:45;01:51:08
591136;256161;267;Göteborgsvarvet 2010;M;1957;SWE;VÄSTRA GÖTALAND;LIDKÖPING;FNS; 13:39:14;01:47:42;5314;0;5902;00:23:14;00:47:45;01:13:43;01:41:44
593821;232209;267;Göteborgsvarvet 2010;F;1983;SWE;VÄSTRA GÖTALAND;KUNGÄLV;FNS; 15:35:12;02:54:37;10749;0;37625;00:38:45;01:17:49;02:01:21;02:47:34
596207;56681;267;Göteborgsvarvet 2010;M;1975;SWE;SÖDERMANLAND;VINGÅKER;FNS; 13:30:17;01:22:08;142;0;153;00:18:38;00:37:31;00:57:15;01:17:47
615035;221907;267;Göteborgsvarvet 2010;M;1967;SWE;VÄSTRA GÖTALAND;KUNGÄLV;FNS; 14:03:32;01:49:44;6363;0;7118;00:25:25;00:50:35;01:16:04;01:43:41
904048;220235;267;Göteborgsvarvet 2010;F;1951;SWE;VÄSTRA GÖTALAND;GÖTEBORG;FNS; 15:06:55;03:47:08;11157;0;38458;00:49:55;01:43:12;02:37:29;03:34:17
594836;257310;267;Göteborgsvarvet 2010;F;1980;SVN;NULL;NULL;FNS; 15:34:16;02:32:50;9160;0;34340;00:36:36;01:11:39;01:48:07;02:25:35
582653;64626;267;Göteborgsvarvet 2010;M;1949;SWE;VÄSTRA GÖTALAND;ÖCKERÖ;FNS; 13:50:26;01:56:12;10037;0;11597;00:24:38;00:50:34;01:19:00;01:50:00
604982;227784;267;Göteborgsvarvet 2010;M;1963;SWE;VÄSTRA GÖTALAND;GÖTEBORG;FNS; 13:57:14;03:28:36;27279;0;38419;00:43:38;01:29:01;02:18:14;03:15:36
571060;36022;267;Göteborgsvarvet 2010;M;1970;SWE;ÖREBRO;ÖREBRO;FNS; 16:00:55;02:08:29;17229;0;21503;00:27:23;00:55:47;01:26:28;02:02:06
554411;48151;267;Göteborgsvarvet 2010;F;1979;SWE;VÄSTRA GÖTALAND;GÖTEBORG;FNS; 14:17:29;02:54:01;10734;0;37593;00:37:09;01:19:42;02:01:49;02:45:17
574228;106424;267;Göteborgsvarvet 2010;M;1977;SWE;VÄSTRA GÖTALAND;MÖLNDAL;FNS; 14:25:22;01:50:23;6718;0;7545;00:27:24;00:52:12;01:18:06;01:45:11
615481;234906;267;Göteborgsvarvet 2010;M;1973;SWE;SKÅNE;HELSINGBORG;FNS; 13:41:33;01:48:50;5869;0;6546;00:23:25;00:47:46;01:15:25;01:42:47
